Mount St. Helens,L-0032,2.489,0.152,2.337,0.79281596,0.33179786,3080.25,46,-122,46.5,-122.5,"(46.25,-122.25)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Mount Shasta,L-0033,4.281,0.208,3.573,1.45192962,0.50372463,3080.25,41.2,-122,41.7,-122.5,"(41.45,-122.25)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Telescope Peak,L-0034,3.174,-0.128,3.302,0.86187656,0.8203775,3080.25,36,-116.75,36.5,-117.25,"(36.25,-117)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Mount Whitney,L-0036,4.254,1.062,3.192,2.55598194,0.8234921,3080.25,36.2,-118,36.7,-118.5,"(36.45,-118.25)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Phantom Ranch,L-0037,2.82,0.592,2.228,1.8259201,0.46612591,6160.5,36,-111.5,36.5,-112.5,"(36.25,-112)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Mount Elbert,L-0038,4.351,2.332,2.019,3.22331156,0.40890341,3080.25,38.75,-106,39.25,-106.5,"(39,-106.25)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Mount Rainier,L-0041,3.634,0.472,3.162,1.30116934,0.39134387,3080.25,46,-121.25,46.5,-121.75,"(46.25,-121.5)",United States,North America,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress,In Progress
Mauna Kea,L-0045,4.166,0.736,3.43,2.72948656,0.72297676,1108.89,19.3,-155.4,19.6,-155.7,"(19.45,-155.55)",United States,North America,,,,,,,,,,
Haleakala,L-0046,2.98,0,2.98,1.35568625,0.80937491,492.84,20.6,-156.1,20.8,-156.3,"(20.7,-156.2)",Uniteid States,North America,,,,,,,,,,
Mount Baker,L-0047,3.001,0.789,2.212,1.7042558,0.4746506,184.815,48.7,-121.75,48.85,-121.85,"(48.775,-121.8)",United States,North America,,,,,,,,,,
